team_id,team_short_name,city,stadium_name,team_name,founded_year,color,created_at,updated_at,franchise_id,is_active,aliases
SS,삼성,대구,대구 삼성 라이온즈 파크,삼성 라이온즈,1982.0,,2026-01-07 08:54:19+00:00,2026-01-11 17:21:44+00:00,1.0,True,[]
LG,LG,서울,잠실야구장,LG 트윈스,1990.0,,2026-01-07 08:54:19+00:00,2026-01-11 17:21:44+00:00,3.0,True,[]
NC,NC,창원,창원NC파크,NC 다이노스,2011.0,,2026-01-07 08:54:19+00:00,2026-01-11 17:21:44+00:00,9.0,True,[]
DO,두산,서울,잠실야구장,두산 베어스,1996.0,,2026-01-07 08:54:19+00:00,2026-01-11 17:21:44+00:00,4.0,True,[]
KT,kt,수원,수원 kt wiz 파크,kt wiz,2013.0,,2026-01-07 08:54:19+00:00,2026-01-11 17:21:44+00:00,10.0,True,[]
HT,해태,광주,광주 무등경기장 야구장,해태 타이거즈,1982.0,,2026-01-07 08:54:19+00:00,2026-01-11 17:21:44+00:00,5.0,True,[]
LT,롯데,부산,부산 사직 야구장,롯데 자이언츠,1982.0,,2026-01-07 08:54:19+00:00,2026-01-11 17:21:44+00:00,2.0,True,[]
HH,한화,대전,대전 한화생명 이글스 파크,한화 이글스,1993.0,,2026-01-07 08:54:19+00:00,2026-01-11 17:21:44+00:00,7.0,True,[]
WO,우리,서울,목동야구장,우리 히어로즈,2008.0,,2026-01-07 08:54:19+00:00,2026-01-11 17:21:44+00:00,6.0,True,[]
SK,SK,인천,인천문학야구장,SK 와이번스,2000.0,,2026-01-07 08:54:19+00:00,2026-01-11 17:21:44+00:00,8.0,True,[]
MBC,MBC,서울,잠실야구장,MBC 청룡,1982.0,,2026-01-07 08:56:04+00:00,2026-01-11 17:21:44+00:00,3.0,True,[]
OB,OB,서울,잠실야구장,OB 베어스,1982.0,,2026-01-07 08:56:04+00:00,2026-01-11 17:21:44+00:00,4.0,True,[]
KIA,KIA,광주,광주-기아 챔피언스 필드,KIA 타이거즈,2001.0,,2026-01-07 08:56:04+00:00,2026-01-11 17:21:44+00:00,5.0,True,[]
SM,삼미,인천,인천공설운동장 야구장,삼미 슈퍼스타즈,1982.0,,2026-01-07 08:56:04+00:00,2026-01-11 17:21:44+00:00,6.0,True,[]
CB,청보,인천,인천공설운동장 야구장,청보 핀토스,1985.0,,2026-01-07 08:56:04+00:00,2026-01-11 17:21:44+00:00,6.0,True,[]
TP,태평양,인천,인천공설운동장 야구장,태평양 돌핀스,1988.0,,2026-01-07 08:56:04+00:00,2026-01-11 17:21:44+00:00,6.0,True,[]
HU,현대,수원,수원야구장,현대 유니콘스,1996.0,,2026-01-07 08:56:04+00:00,2026-01-11 17:21:44+00:00,6.0,True,[]
NX,넥센,서울,고척스카이돔,넥센 히어로즈,2010.0,,2026-01-07 08:56:04+00:00,2026-01-11 17:21:44+00:00,6.0,True,[]
KI,키움,서울,고척스카이돔,키움 히어로즈,2019.0,,2026-01-07 08:56:04+00:00,2026-01-11 17:21:44+00:00,6.0,True,[]
BE,빙그레,대전,대전한밭야구장,빙그레 이글스,1986.0,,2026-01-07 08:56:04+00:00,2026-01-11 17:21:44+00:00,7.0,True,[]
SL,쌍방울,전주,전주야구장,쌍방울 레이더스,1990.0,,2026-01-07 08:56:04+00:00,2026-01-11 17:21:44+00:00,8.0,True,[]
SSG,SSG,인천,인천SSG랜더스필드,SSG 랜더스,2021.0,,2026-01-07 08:56:04+00:00,2026-01-11 17:21:44+00:00,8.0,True,[]
EA,나눔,KBO,-,나눔 올스타,1982.0,,2026-01-11 12:02:33+00:00,2026-01-11 12:02:33+00:00,,True,[]
WE,드림,KBO,-,드림 올스타,1982.0,,2026-01-11 12:02:33+00:00,2026-01-11 12:02:33+00:00,,True,[]
KR,한국,Seoul,,대한민국,,,2026-01-11 15:48:40+00:00,2026-01-11 15:48:40+00:00,,True,[]
JP,일본,Tokyo,,Japan,,,2026-01-11 15:48:40+00:00,2026-01-11 15:48:40+00:00,,True,[]
TW,대만,Taipei,,Taiwan,,,2026-01-11 15:48:40+00:00,2026-01-11 15:48:40+00:00,,True,[]
CU,쿠바,Havana,,Cuba,,,2026-01-11 15:48:40+00:00,2026-01-11 15:48:40+00:00,,True,[]
AU,호주,Canberra,,Australia,,,2026-01-11 15:48:40+00:00,2026-01-11 15:48:40+00:00,,True,[]
DOM,도미니카,Santo Domingo,,Dominican Rep.,,,2026-01-11 15:48:40+00:00,2026-01-11 15:48:40+00:00,,True,[]
PA,파나마,Panama City,,Panama,,,2026-01-11 15:48:40+00:00,2026-01-11 15:48:40+00:00,,True,[]
NL,네덜란드,Amsterdam,,Netherlands,,,2026-01-11 15:48:40+00:00,2026-01-11 15:48:40+00:00,,True,[]
US,미국,"Washington, D.C.",,USA,,,2026-01-11 15:48:40+00:00,2026-01-11 15:48:40+00:00,,True,[]
VE,베네수엘라,Caracas,,Venezuela,,,2026-01-11 15:48:40+00:00,2026-01-11 15:48:40+00:00,,True,[]
