column_name,type,is_primary_key,foreign_key
id,INTEGER,True,
player_name,VARCHAR(100),False,
player_basic_id,INTEGER,False,player_basic(player_id)
year,INTEGER,False,
fa_type,VARCHAR(20),False,
old_team,VARCHAR(50),False,
new_team,VARCHAR(50),False,
team_code,VARCHAR(20),False,
contract_duration,VARCHAR(50),False,
total_amount,VARCHAR(50),False,
total_amount_krw,INTEGER,False,
signing_bonus,VARCHAR(50),False,
annual_salary,VARCHAR(50),False,
remarks,TEXT,False,
source_url,VARCHAR(500),False,
created_at,DATETIME,False,
updated_at,DATETIME,False,
