column_name,type,is_primary_key,foreign_key
id,INTEGER,True,
game_id,VARCHAR(20),False,game(game_id)
team_side,VARCHAR(5),False,
team_code,VARCHAR(10),False,
player_id,INTEGER,False,
player_name,VARCHAR(64),False,
is_starting,BOOLEAN,False,
appearance_seq,INTEGER,False,
innings_outs,INTEGER,False,
innings_pitched,"NUMERIC(5, 3)",False,
batters_faced,INTEGER,False,
pitches,INTEGER,False,
hits_allowed,INTEGER,False,
runs_allowed,INTEGER,False,
earned_runs,INTEGER,False,
home_runs_allowed,INTEGER,False,
walks_allowed,INTEGER,False,
strikeouts,INTEGER,False,
hit_batters,INTEGER,False,
wild_pitches,INTEGER,False,
balks,INTEGER,False,
wins,INTEGER,False,
losses,INTEGER,False,
saves,INTEGER,False,
holds,INTEGER,False,
decision,VARCHAR(2),False,
era,FLOAT,False,
whip,FLOAT,False,
k_per_nine,FLOAT,False,
bb_per_nine,FLOAT,False,
kbb,FLOAT,False,
extra_stats,JSON,False,
created_at,DATETIME,False,
updated_at,DATETIME,False,
uniform_no,VARCHAR(10),False,
