column_name,type,is_primary_key,foreign_key
id,INTEGER,True,
game_id,VARCHAR(20),False,game(game_id)
inning,INTEGER,False,
inning_half,VARCHAR(10),False,
pitcher_name,VARCHAR(50),False,
batter_name,VARCHAR(50),False,
play_description,VARCHAR(1000),False,
event_type,VARCHAR(50),False,
result,VARCHAR(100),False,
player_id,INTEGER,False,player_basic(player_id)
resolver_confidence,VARCHAR(16),False,
resolver_reason,VARCHAR(64),False,
unresolved_player_name,VARCHAR(64),False,
provider_log_id,VARCHAR(64),False,
source_row_index,INTEGER,False,
source_name,VARCHAR(32),False,
created_at,DATETIME,False,
updated_at,DATETIME,False,
