column_name,type,is_primary_key,foreign_key
id,INTEGER,True,
game_id,VARCHAR(20),False,
game_date,DATE,False,
stadium,VARCHAR(50),False,
home_team,VARCHAR(20),False,teams(team_id)
away_team,VARCHAR(20),False,teams(team_id)
away_score,INTEGER,False,
home_score,INTEGER,False,
away_pitcher,VARCHAR(30),False,
home_pitcher,VARCHAR(30),False,
winning_team,VARCHAR(20),False,teams(team_id)
winning_score,INTEGER,False,
season_id,INTEGER,False,kbo_seasons(season_id)
game_status,VARCHAR(32),False,
home_franchise_id,INTEGER,False,team_franchises(id)
away_franchise_id,INTEGER,False,team_franchises(id)
winning_franchise_id,INTEGER,False,team_franchises(id)
is_primary,BOOLEAN,False,
created_at,DATETIME,False,
updated_at,DATETIME,False,
