column_name,type,is_primary_key,foreign_key
id,INTEGER,True,
team_id,VARCHAR(10),False,teams(team_id)
team_name,VARCHAR(64),False,
season,INTEGER,False,
league,VARCHAR(16),False,
games,INTEGER,False,
plate_appearances,INTEGER,False,
at_bats,INTEGER,False,
runs,INTEGER,False,
hits,INTEGER,False,
doubles,INTEGER,False,
triples,INTEGER,False,
home_runs,INTEGER,False,
rbi,INTEGER,False,
stolen_bases,INTEGER,False,
caught_stealing,INTEGER,False,
walks,INTEGER,False,
strikeouts,INTEGER,False,
avg,FLOAT,False,
obp,FLOAT,False,
slg,FLOAT,False,
ops,FLOAT,False,
extra_stats,JSON,False,
created_at,DATETIME,False,
updated_at,DATETIME,False,
