column_name,type,is_primary_key,foreign_key
id,INTEGER,True,
team_id,VARCHAR(10),False,teams(team_id)
team_name,VARCHAR(64),False,
season,INTEGER,False,
league,VARCHAR(16),False,
games,INTEGER,False,
wins,INTEGER,False,
losses,INTEGER,False,
ties,INTEGER,False,
saves,INTEGER,False,
holds,INTEGER,False,
innings_pitched,FLOAT,False,
runs_allowed,INTEGER,False,
earned_runs,INTEGER,False,
hits_allowed,INTEGER,False,
home_runs_allowed,INTEGER,False,
walks_allowed,INTEGER,False,
strikeouts,INTEGER,False,
era,FLOAT,False,
whip,FLOAT,False,
avg_against,FLOAT,False,
extra_stats,JSON,False,
created_at,DATETIME,False,
updated_at,DATETIME,False,
