🔍 Starting Game Status Integrity Audit (Today: 2026-05-24)...
❌ Found 109 integrity violations:
  - [20250325HHLG0] 2025-03-25 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250515KTSS0] 2025-05-15 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250314LGSS0] 2025-03-14 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250317OBKT0] 2025-03-17 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250326NCSS0] 2025-03-26 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250329SSOB0] 2025-03-29 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250330KTLT0] 2025-03-30 | Status: DRAW | Reason: COMPLETED/DRAW game missing scores
  - [20250404HTLG0] 2025-04-04 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250410HTLT0] 2025-04-10 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250413OBLG0] 2025-04-13 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250418NCHH0] 2025-04-18 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250424NCLG0] 2025-04-24 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250427LTOB0] 2025-04-27 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250502OBSS0] 2025-05-02 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250506LGOB0] 2025-05-06 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250518OBHT0] 2025-05-18 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250525HTSS0] 2025-05-25 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250528HHLG0] 2025-05-28 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250528OBKT0] 2025-05-28 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250531HHNC0] 2025-05-31 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250531SSLG0] 2025-05-31 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250605KTHH0] 2025-06-05 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250606HHHT0] 2025-06-06 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250606NCSS0] 2025-06-06 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250617HHLT0] 2025-06-17 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250618KTHT0] 2025-06-18 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250620SSLT0] 2025-06-20 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250624LGKT0] 2025-06-24 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250627HTLG0] 2025-06-27 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
  - [20250629OBNC0] 2025-06-29 | Status: COMPLETED | Reason: COMPLETED/DRAW game missing scores
